"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
2;"JP4,JP4";"WireConnection_1.50mmDrill";2;"SolderJumper_2_Bridged";;;
3;"R44,R43,R42,R41,R41,R42,R43,R44";"R_0805_2012Metric";8;"10K";;;
4;"R35,R34,R34,R35";"R_0805_2012Metric";4;"4.7K";;;
5;"R25,R19,R19,R25";"R_0805_2012Metric";4;"2.2K";;;
6;"R17,R14,R14,R17";"R_2512_6332Metric";4;"0.3";;;
7;"R13,R12,R12,R13";"R_0805_2012Metric";4;"39k";;;
8;"R10,R10";"R_0805_2012Metric";2;"100";;;
9;"R4,R4";"R_0805_2012Metric";2;"100k";;;
10;"J3,J3";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";2;"M1_CONN";;;
11;"IC1,IC1";"POWERSO36";2;"L6208D";;;
12;"D18,D17,D16,D15,D15,D16,D17,D18";"LED_0805_2012Metric";8;"LED";;;
13;"D5,D1,D1,D5";"D_SOD-123";4;"1N4148";;;
14;"C30,C28,C28,C30";"C_0805_2012Metric";4;"68nF";;;
15;"C24,C23,C23,C24";"C_0805_2012Metric";4;"1nF";;;
16;"C17,C17";"C_0805_2012Metric";2;"10nF";;;
17;"C13,C13";"C_0805_2012Metric";2;"220nF1";;;
18;"C7,C1,C2,C4,C5,C7,C26,C27,C34,C35";"C_0805_2012Metric";10;"100nF";;;
19;"C3,C3";"C_0805_2012Metric";2;"5.6n";;;
20;"C22,C22";"C_1210_3225Metric";2;"100uF ceramic";;;
21;"C21,C21";"C_1210_3225Metric";2;"100nF";;;
22;"J5";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"I2C_CONN";;;
23;"C9,C10";"C_0805_2012Metric";2;"20pF";;;
24;"C11,C12";"C_0805_2012Metric";2;"2.2uF";;;
25;"C14";"C_0805_2012Metric";1;"100n";;;
26;"D2";"LED_RGB_1210";1;"LED_CRGB";;;
27;"D9";"LED_0805_2012Metric";1;"LED_RED";;;
28;"J1";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"12V_CONN";;;
29;"J4";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
30;"J8";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Conn_01x04_Female";;;
31;"J9";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Mini";;;
32;"J10";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";1;"ENCODER1";;;
33;"J11";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";1;"ENCODER2";;;
34;"JP1";"PinSocket_1x02_P2.54mm_Vertical";1;"Jumper_NO_Small";;;
35;"L1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"L";;;
36;"FAN";"PinSocket_1x02_P2.54mm_Vertical";1;"Fan";;;
37;"Q2";"SOT-23_Handsoldering";1;"2N2219";;;
38;"R1";"R_0805_2012Metric";1;"120";;;
39;"R2,R5,R6,R7,R28,R29,R30,R32";"R_0805_2012Metric";8;"10k";;;
40;"R3,R21";"R_0805_2012Metric";2;"1k";;;
41;"R24";"R_0805_2012Metric";1;"27K";;;
42;"R31";"R_0805_2012Metric";1;"70k";;;
43;"R45";"R_0805_2012Metric";1;"47K";;;
44;"R46";"R_0805_2012Metric";1;"68K";;;
45;"R47";"R_0805_2012Metric";1;"220";;;
46;"SW1";"SW_SPST_B3S-1000";1;"SW_Push_Dual";;;
47;"SW2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"endstop4";;;
48;"SW3";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"endstop1";;;
49;"SW4";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"endstop3";;;
50;"SW5";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"endstop2";;;
51;"TH1";"R_0805_2012Metric";1;"10k+30T";;;
52;"U1";"SSO-8_6.7x9.8mm_P2.54mm_Clearance8mm";1;"ISO1050-00_isolation";;;
53;"U2";"SOT-23-6_Handsoldering";1;"USBLC6-2SC6";;;
54;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RETx";;;
55;"U4";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
56;"U5";"SOT-223-3_TabPin2";1;"LM1117-5";;;
57;"Y1";"Crystal_HC49-4H_Vertical";1;"8Mhz";;;
58;"G***,G***";"diana";2;"LOGO";;;
